Price,price,returns,position,cash,equity
Ticker,AAPL,,,,
Date,,,,,
2020-01-02,72.40052032470703,,0.0,10000,[10000.]
2020-01-03,71.6966323852539,-0.009722139237346328,0.0,10000,[10000.]
2020-01-06,72.26792907714844,0.007968250012423628,0.0,10000,[10000.]
2020-01-07,71.92804718017578,-0.004703080623907452,0.0,10000,[10000.]
2020-01-08,73.0851058959961,0.016086335736627877,0.0,10000,[10000.]
2020-01-09,74.63750457763672,0.021240971913617734,0.0,10000,[10000.]
2020-01-10,74.80625915527344,0.0022609890107081476,0.0,10000,[10000.]
2020-01-13,76.4044189453125,0.02136398488690361,0.0,10000,[10000.]
2020-01-14,75.37268829345703,-0.01350354686414068,0.0,10000,[10000.]
2020-01-15,75.0497055053711,-0.004285143536720271,0.0,10000,[10000.]
2020-01-16,75.98979187011719,0.012526183259690571,0.0,10000,[10000.]
2020-01-17,76.83108520507812,0.011071136191541209,0.0,10000,[10000.]
2020-01-21,76.3104019165039,-0.00677698729862275,0.0,10000,[10000.]
2020-01-22,76.58280944824219,0.0035697300092369932,0.0,10000,[10000.]
2020-01-23,76.95160675048828,0.004815666921900386,0.0,10000,[10000.]
2020-01-24,76.72986602783203,-0.002881560658963722,0.0,10000,[10000.]
2020-01-27,74.47357940673828,-0.02940558530723003,0.0,10000,[10000.]
2020-01-28,76.58039855957031,0.028289484265629383,0.0,10000,[10000.]
2020-01-29,78.18338775634766,0.020932108306153774,0.0,10000,[10000.]
2020-01-30,78.07008361816406,-0.0014492098824969712,0.0,10000,[10000.]
2020-01-31,74.60855865478516,-0.044338686510302816,0.0,10000,[10000.]
2020-02-03,74.40365600585938,-0.002746369218495026,0.0,10000,[9972.53630782]
2020-02-04,76.8600082397461,0.033013864717793995,0.0,10000,[10301.76827237]
2020-02-05,77.48676300048828,0.008154497704283115,0.0,10000,[10301.76827237]
2020-02-06,78.39311981201172,0.011696924434922318,0.0,10000,[10301.76827237]
2020-02-07,77.32752990722656,-0.013592900848192535,0.0,10000,[10301.76827237]
2020-02-10,77.6948013305664,0.004749555866849553,0.0,10000,[10301.76827237]
2020-02-11,77.2260513305664,-0.006033222197269317,0.0,10000,[10301.76827237]
2020-02-12,79.06000518798828,0.023747865206413588,0.0,10000,[10301.76827237]
2020-02-13,78.49700927734375,-0.007121121600053626,0.0,10000,[10301.76827237]
2020-02-14,78.51634216308594,0.0002462881824436547,0.0,10000,[10301.76827237]
2020-02-18,77.07867431640625,-0.018310428212428898,0.0,10000,[10301.76827237]
2020-02-19,78.19497680664062,0.014482637384913621,0.0,10000,[10301.76827237]
2020-02-20,77.39278411865234,-0.010258877497616448,0.0,10000,[10301.76827237]
2020-02-21,75.6409683227539,-0.022635389278833795,0.0,10000,[10301.76827237]
2020-02-24,72.04800415039062,-0.04750024030671307,0.0,10000,[9812.43180385]
2020-02-25,69.60759735107422,-0.033871955623120176,0.0,10000,[9480.06554924]
2020-02-26,70.71182250976562,0.015863572378775226,0.0,10000,[9630.45325523]
2020-02-27,66.08952331542969,-0.06536812417326077,0.0,10000,[9000.928591]
2020-02-28,66.05084991455078,-0.0005851668908901653,0.0,10000,[8995.6615456]
2020-03-02,72.20026397705078,0.09310121021085149,0.0,10000,[9833.16852214]
2020-03-03,69.90721130371094,-0.03175961619847678,0.0,10000,[9520.87086387]
2020-03-04,73.14983367919922,0.0463846621116204,0.0,10000,[9962.4932419]
2020-03-05,70.77706146240234,-0.032437151220366944,0.0,10000,[9639.33834208]
2020-03-06,69.83712768554688,-0.013280203464716811,0.0,10000,[9511.32596763]
2020-03-09,64.31356811523438,-0.07909202101184964,0.0,10000,[8759.05597435]
2020-03-10,68.94554138183594,0.07202171178408556,0.0,10000,[9389.89817923]
2020-03-11,66.55101776123047,-0.034730652230926085,0.0,10000,[9063.78089108]
2020-03-12,59.97880554199219,-0.09875449602916431,0.0,10000,[8168.69177707]
2020-03-13,67.1647720336914,0.1198084294404329,0.0,10000,[9147.36990946]
2020-03-16,58.52421188354492,-0.12864720430841603,0.0,10000,[7970.58634383]
2020-03-17,61.097530364990234,0.043970151816240755,0.0,10000,[8321.05423544]
2020-03-18,59.601863861083984,-0.02447998298738585,0.0,10000,[8117.35496931]
2020-03-19,59.14519119262695,-0.007662053480767206,0.0,10000,[8055.15936142]
2020-03-20,55.39033126831055,-0.06348546430575219,0.0,10000,[7543.7738293]
2020-03-23,54.2136116027832,-0.02124413482611831,0.0,10000,[7383.51288097]
2020-03-24,59.6525993347168,0.1003251318466738,0.0,10000,[8124.26478425]
2020-03-25,59.323997497558594,-0.005508592095281317,0.0,10000,[8079.51152348]
2020-03-26,62.44579315185547,0.0526228134647424,0.0,10000,[8504.67815126]
2020-03-27,59.860416412353516,-0.04140193612746401,0.0,10000,[8152.56800966]
2020-03-30,61.568695068359375,0.028537700844548652,0.0,10000,[8385.22355664]
2020-03-31,61.44305419921875,-0.0020406615569994457,0.0,10000,[8368.11215328]
2020-04-01,58.21009826660156,-0.05261710985484014,0.0,10000,[7927.80627683]
2020-04-02,59.18143081665039,0.01668666741636704,0.0,10000,[8060.09494351]
2020-04-03,58.330909729003906,-0.014371418127444024,0.0,10000,[7944.25994893]
